problem_sha256,applied_params_hash,status,elapsed_ms,num_variables,num_bool,num_int,num_constraints,num_workers,num_conflicts,num_branches,deterministic_time
9184e368c0e97d4bc93704357120e76ef97fe5f9a0e72f3c148784d450c7723e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,3357.48,1859,1264,595,22013,8,1421,14200,2.76743
924038c95c7634a971a91a5ad72819fc2977c87790d06360e0ec5b38be4a219e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,93615.6,7843,5854,1989,89169,8,14401,129633,60.1845
986e408097d63dbe93210883d12efbd11c7ebfd37fec6e3462bb8a72dd4ade05,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,18427,4058,2932,1126,47669,8,8165,62016,19.6842
98c32f98b1912de97866905f8af956745db6c16dde00e157b0d4e45577755233,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,5661.77,1977,1377,600,23113,8,5929,37247,6.91608
9aba10c5fadecdd17c301a45ddbcef5534a25c861b0a0a9b4943331de602ad8e,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,8748.41,2729,1936,793,32387,8,2681,20896,6.80237
9b58888c473818a77ecb1aaf2c1032bc87b909c80f837100403b5a83a75cbc87,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,12996.9,3727,2581,1146,45679,8,4620,70053,11.007
9eda5addedbb8f1c5a6ea9bd5fe469814755a8ecdebb998f9c2598bc4e2308c7,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7945.18,2569,1783,786,30854,8,7879,36986,9.37835
a01db04d1c0cefeec5fe077d42d9b84d55e54bf00cc689787f11200b6f817d36,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,12021.2,3104,2156,948,36752,8,4413,43700,10.8944
a0a55fdea86a6868a302e54eadbfe25574d413fdc83eb469675ed9df3568a1db,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,7205.38,2350,1548,802,28749,8,447,17377,4.16838
a46c87c567e8ea0a6fa70198b83d8523a69f38448aeafbb35a956a845987993a,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,25758.6,5109,3610,1499,62282,8,2437,61291,15.616
a65ee543b1402a4a356d6b8f8fd45088fd2f68fbbe970c160248bca9cb481181,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,6289.21,1863,1266,597,22077,8,2402,15308,4.90447
b37ba1c4e6c4fd6e50b67a7d1cba5d5c41b1c9837b2f020d6174c1459665a756,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,18428.8,3494,2362,1132,43153,8,7145,81271,18.8471
b5e191a84337537481ab49001854e27b03a9ccded205fe88b9150bfa45529915,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,19149.4,5076,3230,1846,65280,8,2225,62641,10.8972
b7fa34442c7e8f082f59d288a2714129f51f43774aa2e658712e5da54cfe8635,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,46683.7,4820,3334,1486,59596,8,9931,192717,42.0754
b848342049b15eda055c33e85c1eb5b7dd0470cdddc487c913c4f4edb41c1177,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,5405.46,1674,1070,604,20478,8,3722,41473,3.32815
b87e2b0d6dcc9cc59a03ed6cede32988b1f7db99692b635f75e32f763776d979,5df8f0e757df0723112604075d205601310374d953777709be4c1ef611f244bd,OPTIMAL,27636.9,5310,3831,1479,63650,8,6118,70915,21.8517
