problem_sha256,applied_params_hash,seed,solver,path,z3_version,result,elapsed_ms,num_variables,num_bool,num_int,num_real,num_hard_constraints,num_soft_constraints,num_minimize_objectives,num_maximize_objectives,cli_effort,cli_tech,cli_process,cli_solver_iter_timeout,cli_use_reboot,cli_optimize_m1,cli_optimize_m2,cli_num_of_heights,z3_conflicts,z3_decisions,z3_propagations,z3_final_checks,z3_num_checks,z3_max_memory_mb,z3_time_s,z3_rlimit_count,smt2_filename,smt2_path,meta_path,error
a7df812c620d14325d4d18dccdb4e3ae469f5727ac6f31d49331dd79d223af40,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,93445,83551,45030,38471,50,696365,2137,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,12900,396823,145339357,28,29,4702.37,93.445,322543353,a7df812c620d14325d4d18dccdb4e3ae469f5727ac6f31d49331dd79d223af40.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/a7df812c620d14325d4d18dccdb4e3ae469f5727ac6f31d49331dd79d223af40.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/a7df812c620d14325d4d18dccdb4e3ae469f5727ac6f31d49331dd79d223af40__543b29ed8f75ba2d__seed0.meta.jsonl,
aa358daf42261994339da8ef373dcdf18401ca35669f908e1023568b5302de07,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,1674,10244,5621,4609,14,59387,383,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,132,3661,274267,6,7,296.0,1.674,6504829,aa358daf42261994339da8ef373dcdf18401ca35669f908e1023568b5302de07.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/aa358daf42261994339da8ef373dcdf18401ca35669f908e1023568b5302de07.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/aa358daf42261994339da8ef373dcdf18401ca35669f908e1023568b5302de07__543b29ed8f75ba2d__seed0.meta.jsonl,
ac90ca97ff993ebed2e7b1dfdd4e670b0bac1c67d04ac3d592d58456dc4425d9,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Unsat,239,5701,3195,2496,10,24797,284,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,9,21,18322,,1,88.65,0.239,1703733,ac90ca97ff993ebed2e7b1dfdd4e670b0bac1c67d04ac3d592d58456dc4425d9.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/ac90ca97ff993ebed2e7b1dfdd4e670b0bac1c67d04ac3d592d58456dc4425d9.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/ac90ca97ff993ebed2e7b1dfdd4e670b0bac1c67d04ac3d592d58456dc4425d9__543b29ed8f75ba2d__seed0.meta.jsonl,
aeec9f77b092fb1f9c13c7b1cd4914bf6f31a8c3e4e34b97556ee942431f9d1c,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,2193,17097,9331,7748,18,112978,548,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,313,11511,1133434,9,10,619.08,2.193,10988398,aeec9f77b092fb1f9c13c7b1cd4914bf6f31a8c3e4e34b97556ee942431f9d1c.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/aeec9f77b092fb1f9c13c7b1cd4914bf6f31a8c3e4e34b97556ee942431f9d1c.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/aeec9f77b092fb1f9c13c7b1cd4914bf6f31a8c3e4e34b97556ee942431f9d1c__543b29ed8f75ba2d__seed0.meta.jsonl,
b6393502fdb5834104bcd66ed1a29e6150c036beb3c8a185f04a6341b3fd3102,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,312,5854,3276,2568,10,25205,293,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,272,4275,156893,11,12,88.83,0.312,1935497,b6393502fdb5834104bcd66ed1a29e6150c036beb3c8a185f04a6341b3fd3102.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/b6393502fdb5834104bcd66ed1a29e6150c036beb3c8a185f04a6341b3fd3102.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/b6393502fdb5834104bcd66ed1a29e6150c036beb3c8a185f04a6341b3fd3102__543b29ed8f75ba2d__seed0.meta.jsonl,
bc60e5e73924b7f663b6320df3ffba8cb70b7ca50069d0bb586a8656aca15677,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Unsat,32076,99386,52694,46644,48,1093104,1914,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,8,44,78236,,1,4739.95,32.076,67029168,bc60e5e73924b7f663b6320df3ffba8cb70b7ca50069d0bb586a8656aca15677.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/bc60e5e73924b7f663b6320df3ffba8cb70b7ca50069d0bb586a8656aca15677.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/bc60e5e73924b7f663b6320df3ffba8cb70b7ca50069d0bb586a8656aca15677__543b29ed8f75ba2d__seed0.meta.jsonl,
be1c308d797798dce2f3663ad9790822ce632331f6d9c7309a738ab8e438804e,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Unsat,33752,99809,52910,46851,48,1095737,1923,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,554,2726,5217493,,1,4742.12,33.752,76041935,be1c308d797798dce2f3663ad9790822ce632331f6d9c7309a738ab8e438804e.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/be1c308d797798dce2f3663ad9790822ce632331f6d9c7309a738ab8e438804e.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/be1c308d797798dce2f3663ad9790822ce632331f6d9c7309a738ab8e438804e__543b29ed8f75ba2d__seed0.meta.jsonl,
c5d46b1e315a5c5e6cf895acac137541641d31b9bc77909ede85575c6876b0db,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Unsat,32836,99386,52694,46644,48,1093134,1914,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,17,59,77550,,1,4755.76,32.836,66856154,c5d46b1e315a5c5e6cf895acac137541641d31b9bc77909ede85575c6876b0db.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/c5d46b1e315a5c5e6cf895acac137541641d31b9bc77909ede85575c6876b0db.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/c5d46b1e315a5c5e6cf895acac137541641d31b9bc77909ede85575c6876b0db__543b29ed8f75ba2d__seed0.meta.jsonl,
cc611a5155b2d4fc3e0ee9f52181aea53ceefcbb5763e9f5e481ae7c93ebcc52,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,42599,59881,32069,27774,38,524539,1453,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,2,8751,199321,79552413,33,34,2497.83,42.599,161835665,cc611a5155b2d4fc3e0ee9f52181aea53ceefcbb5763e9f5e481ae7c93ebcc52.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/cc611a5155b2d4fc3e0ee9f52181aea53ceefcbb5763e9f5e481ae7c93ebcc52.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/cc611a5155b2d4fc3e0ee9f52181aea53ceefcbb5763e9f5e481ae7c93ebcc52__543b29ed8f75ba2d__seed0.meta.jsonl,
d8d5ffa7d82453487927cb6588bf547b89fa3149bb1b8865bac16dcc2516af84,543b29ed8f75ba2d0c54a5409cce4ee23f2d54d221a09c0cca667e1b31ffcec6,0,z3,primary,4.13.3.0,Sat,3350,17043,9303,7722,18,112812,546,0,0,low,sf4lpp,sf4lpp,3600.0,False,False,False,1,394,10789,1035444,8,9,612.05,3.35,14423207,d8d5ffa7d82453487927cb6588bf547b89fa3149bb1b8865bac16dcc2516af84.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/d8d5ffa7d82453487927cb6588bf547b89fa3149bb1b8865bac16dcc2516af84.smt2,/Users/heedeok.son/workspace/openevolve/input/z3-bench/raw-data/d8d5ffa7d82453487927cb6588bf547b89fa3149bb1b8865bac16dcc2516af84__543b29ed8f75ba2d__seed0.meta.jsonl,
